year,authority_code,is_treatment,district,distance_from_tel_aviv,year_of_municipal_status,council_members_number,socioeconomic_level,compactness_cluster,peripheral_cluster,total_jurisdiction_area,population_density,total_population,jews_and_others,arabs,total_men,total_women,dependency_ratio,natural_increase_per_1000,total_migration_balance,immigrants_post_1990,population_growth_rate,residential_percent_area,education_percent_area,health_welfare_percent_area,public_services_percent_area,culture_leisure_sports_percent_area,commerce_percent_area,industry_infrastructure_percent_area,transportation_percent_area,agricultural_buildings_percent_area,public_open_space_percent_area,forest_woodland_percent_area,orchards_citrus_olive_percent_area,cultivated_fields_percent_area,other_open_space_percent_area,total_classes,total_students,avg_students_per_class,percent_bagrut_eligible,percent_university_bagrut,water_receipts,total_private_cars,avg_car_age,accidents_per_1000_residents,accidents_per_1000_vehicles,unemployment_benefits_total,male_unemployment_benefits,avg_age_unemployment_recipients,income_support_recipients_yearly,avg_salary_employees,avg_salary_male,avg_salary_female,change_salary_emp_yoy,change_salary_male_yoy,change_salary_female_yoy,employees_total,percent_earning_min_wage,self_employed_total,avg_income_self_employed,change_income_self_employed_yoy,percent_earning_half_avg_salary,inequality_index_gini,total_revenues,revenues_change,regular_budget_revenues,gov_participation,gov_participation_change,special_budget_revenues,property_tax_total_prev_year,property_tax_residential_prev_year,property_tax_business_prev_year,property_tax_total_current_year,property_tax_residential_current_year,property_tax_business_current_year
1999,2610,0,5,,1991,17.0,5.0,,,33.87,8735,38.5,96.7,,19.1,19.4,,29.81966539643864,5277,887,19.95450012465719,,,,,,,21.9,,,,,,,,306,7229,23.62418300653595,,,3986.48,4756,7.1,1.6,10.5,710,361,38,1735,4406.645527766002,5883.585453167116,2910.295400238949,-1.137902344882569,0.5611490957766252,-2.293309206630068,11795,40.8,749,5279.696929238985,-1.062608678300758,43.7,0.3935089971810166,201576,22.45779903137954,142968,52048,-6.264853224389643,58608,,,,,,
1999,6100,0,2,,1950,25.0,3.0,,,7.367,25094,134.7,98.6,,67.0,67.7,,25.43467498483151,-2547,887,0.6483369559534111,,,,,,,26.2,,,,,,,,1438,37287,25.9297635605007,,,10648.5,17386,4.9,2.6,14.3,999,455,38,4806,4091.453258228407,5352.129941259517,3108.514992923694,-0.08148749439147451,0.9527265488570746,-0.1944090862079362,30180,44.3,2174,6148.461016559338,-1.56168621474887,42.5,0.4270361073337736,533196,3.44122996751075,471502,221223,3.098030982006184,61694,,,,,,
1999,6200,1,2,,1958,27.0,6.0,,,8.038,24290,137.3,91.4,,65.6,71.7,,5.337105276588918,-330,"3,723",0.2592168001694262,,,,,,,6.4,,,,,,,,757,20631,27.25363276089828,,,11729.638,25920,7.1,2.9,12.2,2512,1273,41,8227,4224.989121469771,5162.722199277518,3277.425375044515,0.5904285632262196,0.3322082217664502,2.421335343509612,60218,41.6,4671,5179.456897166917,-3.739554792118516,43.4,0.3951439225401532,487501,2.160923539895609,429921,149135,16.35584555040455,57580,,,,,,
1999,6300,0,2,,1959,19.0,9.0,,,3.256,16730,46.8,98.2,,22.0,24.8,,3.387222584333295,-205,244,-0.08755445459982525,,,,,,,3.1,,,,,,,,235,7415,31.5531914893617,,,4428.507,15351,5.7,3.1,7.6,591,235,41,608,6694.776321979676,8417.618593563766,5144.40306578477,3.601047001004254,3.745848296481613,4.604325403454945,21256,30.3,2025,9171.101152263374,-1.458273048545333,31.5,0.4523774340511142,213945,-7.022035549416006,200177,50822,-12.94731789970459,13768,,,,,,
1999,2200,0,1,,1969,17.0,3.0,,,31.045,8730,34.0,91.3,,16.8,17.3,,12.99510458388963,147,410,1.850742692860535,,,,,,,25.9,,,,,,,,289,7387,25.56055363321799,,,3662.58,4071,6.5,2.6,18.2,1143,587,36,5767,4597.485984405458,5862.230511783573,2993.403386982667,3.756925824809887,3.284838089210007,5.186709782228793,12825,39.4,467,4716.021770164169,0.8202784252477224,47.8,0.3819514256005546,167385,2.268396556181318,144884,90957,0.6824181845351607,22501,,,,,,
1999,9700,0,6,,1990,17.0,8.0,,,19.239,4300,34.7,98.1,,17.3,17.4,,10.90919783580334,990,315,4.192802905249266,,,,,,,4.1,,,,,,,,262,7253,27.68320610687023,,,4057.243,9963,6.4,2.2,6.0,443,188,41,668,6485.80527288541,8563.958750439058,4446.862238304471,4.669424037595138,5.700508071354582,5.003344492111661,15330,32.3,1473,7935.989477257298,0.2583459531162458,32.1,0.464751010653079,207554,-18.22084002848311,141850,31435,5.237651289794809,65704,,,,,,
1999,6400,0,2,,1960,21.0,9.0,,,20.043,7310,82.5,97.6,,40.2,42.3,,6.770899692397299,-320,604,0.298989997204572,,,,,,,16.5,,,,,,,,508,15592,30.69291338582677,,,12785.365,30762,5.5,4.3,9.3,1038,468,42,1543,6259.752849002849,8088.503606691787,4467.948445458585,2.027906695916615,3.285357922415511,2.071761878968759,38610,35.4,3701,10029.90498063586,-1.87627468489695,31.1,0.4975109235366245,550063,-7.965857436768575,413233,93598,10.62527402796836,136830,,,,,,
1999,6500,1,0,,1952,21.0,6.0,,,49.952,5529,70.2,94.9,,34.3,35.9,,9.369627093176138,1342,"1,477",2.938977734128784,,,,,,,18,,,,,,,,567,15205,26.81657848324515,,,8848.83,15090,6.2,2.2,8.4,1948,979,38,6309,4620.484908762124,5906.020357475977,3307.69761208577,1.593552097777362,1.991897966247413,3.469601996187732,30415,40.9,1776,6071.248310810811,-4.837309791170874,40.7,0.4175174674843039,429242,11.47546181073742,301158,51361,-7.458264598048414,128084,,,,,,
1999,6600,0,2,,1950,27.0,7.0,,,18.94,18140,164.4,95.5,,79.3,85.1,,7.42889421535549,55,"2,350",0.7883814883612672,,,,,,,17.3,,,,,,,,932,27305,29.29721030042919,,,17459.468,41250,6.6,4.2,12.7,2271,1158,43,7172,5073.766505021324,6349.002372774947,3815.331153537783,1.772097536843908,1.83806282831811,3.602140224602501,72690,37.8,6784,6295.879520440251,-4.289052585776643,36.5,0.4256307993954419,671994,6.147845568391808,598712,156727,6.218567228117955,73282,,,,,,
1999,4000,0,0,,1877,31.0,7.0,,,59.587,9121,268.2,85.0,,128.8,139.4,,2.142683223764305,1915,"6,712",0.9610136378864524,,,,,,,28.4,,,,,,,,1656,45248,27.32367149758454,,,31231.944,70589,5.7,4.0,12.3,4946,2594,39,16926,5767.046087399757,7442.444934462043,4101.682473474361,0.6730584743930068,1.877697324727889,0.8432067542731625,110191,38.9,7095,8285.835341789993,-1.388310917076085,38.2,0.5121153649945527,1472225,-0.4656880007032793,1127822,246351,1.977483363725407,344403,,,,,,
