year,auth_id,cumulative_deficit
2000,168,
2001,168,
2002,168,-11344.0
2003,168,-10953.0
2004,168,-7809.0
2005,168,-692.0
2006,168,-621.0
2007,168,-395.0
2008,168,
2009,168,475.0
2010,168,475.0
2011,168,510.0
2012,168,61.0
2013,168,-2466.0
2014,168,-5741.0
2015,168,-5459.0
2016,168,-5332.0
2017,168,-5256.0
2018,168,-5.198
2019,168,-6.087
2020,168,-6.065
2021,168,-6.016
2022,168,-5.964
1999,171,
2000,171,
2001,171,
2002,171,-1167.0
2003,171,-3401.0
2004,171,-2401.0
2005,171,-1624.0
2006,171,
2007,171,-1624.0
2008,171,
2009,171,-1624.0
2010,171,
2011,171,
2012,171,
2013,171,
2014,171,
2015,171,
2016,171,
2017,171,437.0
2018,171,0.553
2019,171,1.94
2020,171,3.878
2021,171,4.456
2022,171,4.694
1999,182,
2000,182,
2001,182,
2002,182,-14589.0
2003,182,-23193.0
2004,182,-23400.0
2005,182,-11028.0
2006,182,
2007,182,-4676.0
2008,182,
2009,182,-3781.0
2010,182,304.0
2011,182,341.0
2012,182,2561.0
2013,182,3635.0
2014,182,3735.0
2015,182,3739.0
2016,182,4059.0
2017,182,3653.0
2018,182,3.69
2019,182,3.813
2020,182,5.267
2021,182,7.032
2022,182,7.618
1999,195,
2000,195,
2001,195,
2002,195,-7587.0
2003,195,-13648.0
2004,195,-17763.0
2005,195,-9582.0
2006,195,
2007,195,-10032.0
2008,195,
2009,195,-12263.0
2010,195,-10606.0
2011,195,-5538.0
2012,195,-5509.0
2013,195,-5436.0
2014,195,-5362.0
2015,195,-6959.0
2016,195,-8202.0
2017,195,-5338.0
2018,195,-4.921
2019,195,-4.736
2020,195,-3.733
2021,195,0.0
2022,195,-6.677
1999,229,
2000,229,
2001,229,
2002,229,-11469.0
2003,229,-16281.0
2004,229,-13718.0
2005,229,-13855.0
2006,229,
2007,229,-9387.0
2008,229,
2009,229,-11906.0
2010,229,-7323.0
2011,229,-8767.0
2012,229,-10511.0
2013,229,-11744.0
2014,229,-13341.0
2015,229,-14342.0
2016,229,-14402.0
2017,229,-14283.0
2018,229,-7.708
2019,229,-9.792
2020,229,-7.288
2021,229,-13.974
2022,229,-13.948
1999,240,
2000,240,
2001,240,
2002,240,-4608.0
2003,240,-8380.0
2004,240,-12988.0
2005,240,-11207.0
2006,240,
2007,240,-7428.0
2008,240,
2009,240,-9020.0
2010,240,-8421.0
2011,240,-9290.0
2012,240,-9355.0
2013,240,-10155.0
2014,240,-11433.0
2015,240,-11510.0
2016,240,-12817.0
2017,240,-14096.0
2018,240,-18.873
2019,240,-20.762
2020,240,-20.571
2021,240,-20.468
2022,240,-20.3
1999,246,
2000,246,
2001,246,
2002,246,
2003,246,-8895.0
2004,246,-10754.0
2005,246,-11351.0
2006,246,
2007,246,-9714.0
2008,246,
2009,246,-10872.0
2010,246,-14362.0
2011,246,-19633.0
2012,246,-18694.0
2013,246,-25024.0
2014,246,-13279.0
2015,246,-12071.0
2016,246,-4631.0
2017,246,-5013.0
2018,246,-8.691
2019,246,-9.424
2020,246,-9.903
2021,246,-9.956
2022,246,-10.613
1999,267,
2000,267,
2001,267,
2002,267,2190.0
2003,267,
2004,267,
2005,267,1385.0
2006,267,
2007,267,1475.0
2008,267,
2009,267,1488.0
2010,267,2160.0
2011,267,2568.0
2012,267,2319.0
2013,267,2133.0
2014,267,1339.0
2015,267,-211.0
2016,267,239.0
2017,267,1720.0
2018,267,1.814
2019,267,1.996
2020,267,2.126
2021,267,2.225
2022,267,1.311
1999,466,
2000,466,
2001,466,
2002,466,-1046.0
2003,466,-1117.0
2004,466,-1070.0
2005,466,-1012.0
2006,466,-960.0
2007,466,-944.0
2008,466,
2009,466,-1719.0
2010,466,-1814.0
2011,466,-592.0
2012,466,-705.0
2013,466,-2127.0
2014,466,-2494.0
2015,466,-3932.0
2016,466,-4841.0
2017,466,-6218.0
2018,466,-13.977
2019,466,-10.628
2020,466,-5.509
2021,466,-3.988
2022,466,-1.705
1999,469,
2000,469,
2001,469,
2002,469,-22248.0
2003,469,-25368.0
2004,469,-25518.0
2005,469,-15581.0
2006,469,
2007,469,-10881.0
2008,469,
2009,469,-3702.0
2010,469,-2361.0
2011,469,-2084.0
2012,469,-1842.0
2013,469,-672.0
2014,469,-745.0
2015,469,-558.0
2016,469,-457.0
2017,469,-358.0
2018,469,-0.722
2019,469,-0.554
2020,469,0.926
2021,469,1.625
2022,469,2.243
1999,565,
2000,565,
2001,565,
2002,565,-3955.0
2003,565,-7322.0
2004,565,-4576.0
2005,565,-4928.0
2006,565,
2007,565,-2307.0
2008,565,
2009,565,-2952.0
2010,565,-2955.0
2011,565,-2912.0
2012,565,-2745.0
2013,565,-2741.0
2014,565,-1685.0
2015,565,-1661.0
2016,565,-1857.0
2017,565,-5418.0
2018,565,-6.0
2019,565,-4.305
2020,565,-3.715
2021,565,-1.379
2022,565,-3.464
1999,587,
2000,587,
2001,587,204.0
2002,587,11.0
2003,587,
2004,587,
2005,587,24.0
2006,587,
2007,587,24.0
2008,587,
2009,587,-842.0
2010,587,-523.0
2011,587,-503.0
2012,587,-926.0
2013,587,-13717.0
2014,587,-13529.0
2015,587,-12909.0
2016,587,-6338.0
2017,587,-2127.0
2018,587,0.107
2019,587,0.813
2020,587,1.605
2021,587,2.337
2022,587,2.947
1999,666,
2000,666,
2001,666,
2002,666,-1336.0
2003,666,-1955.0
2004,666,-1899.0
2005,666,133.0
2006,666,
2007,666,638.0
2008,666,
2009,666,2176.0
2010,666,660.0
2011,666,746.0
2012,666,1398.0
2013,666,2308.0
2014,666,2933.0
2015,666,3127.0
2016,666,7018.0
2017,666,6726.0
2018,666,5.546
2019,666,4.394
2020,666,6.559
2021,666,7.25
2022,666,7.496
1999,681,
2000,681,
2001,681,
2002,681,-38311.0
2003,681,-28887.0
2004,681,-22233.0
2005,681,-10481.0
2006,681,
2007,681,-8536.0
2008,681,
2009,681,-15054.0
2010,681,-10440.0
2011,681,-4890.0
2012,681,-1674.0
2013,681,592.0
2014,681,3538.0
2015,681,6114.0
2016,681,7542.0
2017,681,8456.0
2018,681,9.867
2019,681,20.163
2020,681,35.758
2021,681,62.396
2022,681,73.39
1999,812,
2000,812,781.0
2001,812,-690.0
2002,812,-657.0
2003,812,-1003.0
2004,812,-1162.0
2005,812,-1017.0
2006,812,
2007,812,-1411.0
2008,812,
2009,812,-3326.0
2010,812,-1421.0
2011,812,-4141.0
2012,812,-5112.0
2013,812,-6327.0
2014,812,-6577.0
2015,812,-6626.0
2016,812,-1691.0
2017,812,-762.0
2018,812,-0.469
2019,812,-2.017
2020,812,-1.656
2021,812,-1.501
2022,812,-4.074
1999,831,
2000,831,
2001,831,
2002,831,-2185.0
2003,831,-8183.0
2004,831,-25219.0
2005,831,-30277.0
2006,831,
2007,831,-3962.0
2008,831,
2009,831,-3212.0
2010,831,-2933.0
2011,831,-4591.0
2012,831,-11016.0
