שם הרשות,שנה,סמל הרשות,מחוז,מרחק מגבול מחוז תל אביב,שנת קבלת מעמד מוניציפלי,מספר חברי מועצה,רמה חברתית-כלכלית (10 הגבוה ביותר),"סה""כ אוכלוסייה בסוף (אלפים)",יהודים ואחרים (אחוז),ערבים (אחוז),"סה""כ גברים בסוף (אלפים)","סה""כ נשים בסוף (אלפים)",יחס תלות (אחוזים),ריבוי טבעי לאלף תושבים,"מאזן הגירה - סה""כ",אחוז עולי 1990+ מסך האוכלוסייה,אחוז גידול האוכלוסייה,"נכנסים מיישובים אחרים - סה""כ",נכנסים מיישובים אחרים - גברים,נכנסים מיישובים אחרים - נשים,נכנסים מיישובים אחרים - גיל 29-15,"יוצאים ליישובים אחרים - סה""כ",יוצאים ליישובים אחרים - גברים,יוצאים ליישובים אחרים - נשים,יוצאים ליישובים אחרים - גיל 29-15,"מקבלי דמי אבטלה - סה""כ (ממוצע חודשי)",מקבלי דמי אבטלה - גברים,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)","שכר חודשי ממוצע של שכיר במשך השנה (ש""ח)","שכר חודשי ממוצע של גברים שכירים במשך השנה (ש""ח)","שכר חודשי ממוצע של נשים שכירות במשך השנה (ש""ח)",אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של שכיר במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של גברים שכירים במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של נשים שכירות במשך השנה,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה חודשית ממוצעת של עצמאי במשך השנה (ש""ח)",אחוז שינוי ראלי של הכנסה חודשית ממוצעת של עצמאי במשך השנה,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון - שכירים (מדד ג'יני, 0 שוויון מלא)","בתי ספר - סה""כ -","כיתות - סה""כ","תלמידים - סה""כ","ממוצע תלמידים לכיתה - סה""כ",אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"תקבולי מים (אלפי מ""ק)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","התחלה של הנחת צינורות מים (ק""מ)","התחלה של הנחת צינורות ביוב (ק""מ)","התחלה של הנחת צינורות תיעול (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","גמר של הנחת צינורות מים (ק""מ)","גמר של הנחת צינורות ביוב (ק""מ)","גמר של הנחת צינורות תיעול (ק""מ)","מכוניות פרטיות - סה""כ",גיל ממוצע של רכב פרטי (שנים),"תאונות דרכים עם נפגעים - שיעור ל-1,000 תושבים","תאונות דרכים עם נפגעים - שיעור ל-1,000 כלי רכב","מדד קומפקטיות אשכול (מ-1 עד 10, 1 הגבוה ביותר)",אשכול פריפריאליות,מדדים סובייקטיביים - שביעות רצון משירות שקיבלו מהעירייה- מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מתפקוד העירייה - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון כללית מאזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מהניקיון באזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מפרקים ושטחים ירוקים באזור המגורים - מרוצים - סך הכל (באחוזים),"אחוז התושבים בני 20 ומעלה המרגישים ""בטוח"" ו""בטוח מאוד"" ללכת בחשכה באזור המגורים",פונים לרשות המקומית (אחוזים),"סך כולל הכנסות של הרשות (אלפי ש""ח)",סך כולל הכנסות של הרשות - אחוז שינוי ראלי,"סה""כ הכנסות של הרשות מן התקציב הרגיל (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות - אחוז שינוי ראלי","סה""כ הכנסות של הרשות מתקציב בלתי רגיל (אלפי ש""ח)","סך כולל הוצאות של הרשות (אלפי ש""ח)",סך כולל הוצאות של הרשות - אחוז שינוי ראלי,"הוצאות של הרשות לפעולות (אלפי ש""ח)","הוצאות של הרשות לפירעון מלוות (אלפי ש""ח)","הוצאות מימון של הרשות (אלפי ש""ח)","סה""כ הוצאות של הרשות בתקציב בלתי רגיל (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - תקציבי (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - שנתי (אלפי ש""ח)","גירעון מצטבר בסוף שנה (אלפי ש""ח)","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה נוכחית","סה""כ שטח שיפוט בקמ""ר",מגורים - אחוז משטח השיפוט,חינוך והשכלה - אחוז משטח השיפוט,בריאות ורווחה - אחוז משטח השיפוט,שירותים ציבוריים - אחוז משטח השיפוט,"תרבות, פנאי, נופש וספורט - אחוז משטח השיפוט",מסחר - אחוז משטח השיפוט,תעשייה ותשתיות - אחוז משטח השיפוט,תחבורה - אחוז משטח השיפוט,מבנים חקלאיים - אחוז משטח השיפוט,שטח פתוח ציבורי - אחוז משטח השיפוט,יער וחורש - אחוז משטח השיפוט,"מטעים, פרדסים ועצי זית - אחוז משטח השיפוט",שדות מעובדים - אחוז משטח השיפוט,שטח פתוח אחר - אחוז משטח השיפוט,"צפיפות אוכלוסייה לשטח בנוי למגורים (נפשות לקמ""ר)"
בית שמש,1999,2610,ירושלים,,1991,17,5,38.5,96.7,,19.1,19.4,,29.8196653964386,5277,887,19.9545001246572,"5,545",2817,2728,2037,1105,528,577,429,710,361,38,1735,4406.645527766,5883.58545316712,2910.29540023895,-1.13790234488257,0.561149095776625,-2.29330920663007,11795,40.8,749,5279.69692923899,-1.06260867830076,43.7,0.393508997181017,28,306,7229,23.624183006536,,,3986.48,-,-,0.5,1.9,-,-,-,0.5,0.1,-,4756,7.1,1.6,10.5,,,,,,,,,,201576,22.4577990313795,142968,52048,-6.26485322438964,58608,224828,14.4862025559874,75161,10252,3710,65449,"-16,411","-28,411",,,,,,,,33.87,,,,,,,21.9,,,,,,,,8735
בני ברק,1999,6100,תל אביב,,1950,25,3,134.7,98.6,,67.0,67.7,,25.4346749848315,-2547,887,0.648336955953411,"3,758",2055,1703,1752,7004,3578,3426,2975,999,455,38,4806,4091.45325822841,5352.12994125952,3108.51499292369,-0.0814874943914745,0.952726548857075,-0.194409086207936,30180,44.3,2174,6148.46101655934,-1.56168621474887,42.5,0.427036107333774,134,1438,37287,25.9297635605007,,,10648.5,1,6.6,7.1,0.2,3,-,-,7.1,0.1,2.3,17386,4.9,2.6,14.3,,,,,,,,,,533196,3.44122996751075,471502,221223,3.09803098200618,61694,554647,3.35957462607987,205652,49725,8370,66355,"-16,790","-16,790",,,,,,,,7.367,,,,,,,26.2,,,,,,,,25094
בת ים,1999,6200,תל אביב,,1958,27,6,137.3,91.4,,65.6,71.7,,5.33710527658892,-330,"3,723",0.259216800169426,"5,576",2685,2891,1972,9278,4513,4765,2974,2512,1273,41,8227,4224.98912146977,5162.72219927752,3277.42537504451,0.59042856322622,0.33220822176645,2.42133534350961,60218,41.6,4671,5179.45689716692,-3.73955479211852,43.4,0.395143922540153,48,757,20631,27.2536327608983,,,11729.638,0.3,2.2,1.5,0.1,-,0.3,2.2,1.5,-,-,25920,7.1,2.9,12.2,,,,,,,,,,487501,2.16092353989561,429921,149135,16.3558455504045,57580,523493,1.22682911069298,214022,22967,6710,64179,"-29,393","-29,393",,,,,,,,8.038,,,,,,,6.4,,,,,,,,24290
גבעתיים,1999,6300,תל אביב,,1959,19,9,46.8,98.2,,22.0,24.8,,3.38722258433329,-205,244,-0.0875544545998253,"2,597",1206,1391,970,2985,1437,1548,868,591,235,41,608,6694.77632197968,8417.61859356377,5144.40306578477,3.60104700100425,3.74584829648161,4.60432540345495,21256,30.3,2025,9171.10115226337,-1.45827304854533,31.5,0.452377434051114,14,235,7415,31.5531914893617,,,4428.507,-,-,0.1,0.1,-,-,-,0.1,-,-,15351,5.7,3.1,7.6,,,,,,,,,,213945,-7.02203554941601,200177,50822,-12.9473178997046,13768,232629,-5.99123889378074,100641,16130,2209,16159,"-16,293","-16,293",,,,,,,,3.256,,,,,,,3.1,,,,,,,,16730
דימונה,1999,2200,הדרום,,1969,17,3,34.0,91.3,,16.8,17.3,,12.9951045838896,147,410,1.85074269286054,814,432,382,355,1331,671,660,584,1143,587,36,5767,4597.48598440546,5862.23051178357,2993.40338698267,3.75692582480989,3.28483808921001,5.18670978222879,12825,39.4,467,4716.02177016417,0.820278425247722,47.8,0.381951425600555,22,289,7387,25.560553633218,,,3662.58,-,-,-,-,-,-,-,-,-,-,4071,6.5,2.6,18.2,,,,,,,,,,167385,2.26839655618132,144884,90957,0.682418184535161,22501,170870,-4.47616409996556,70760,15120,2094,24120,"-1,866","-5,166",,,,,,,,31.045,,,,,,,25.9,,,,,,,,8730
הוד השרון,1999,9700,המרכז,,1990,17,8,34.7,98.1,,17.3,17.4,,10.9091978358033,990,315,4.19280290524927,"2,230",1117,1113,568,1508,748,760,549,443,188,41,668,6485.80527288541,8563.95875043906,4446.86223830447,4.66942403759514,5.70050807135458,5.00334449211166,15330,32.3,1473,7935.9894772573,0.258345953116246,32.1,0.464751010653079,18,262,7253,27.6832061068702,,,4057.243,-,-,3.7,4.1,1.7,-,-,1.9,1.8,-,9963,6.4,2.2,6.0,,,,,,,,,,207554,-18.2208400284831,141850,31435,5.23765128979481,65704,239027,-25.5228280211122,68047,12810,2076,97255,78,78,,,,,,,,19.239,,,,,,,4.1,,,,,,,,4300
הרצלייה,1999,6400,תל אביב,,1960,21,9,82.5,97.6,,40.2,42.3,,6.7708996923973,-320,604,0.298989997204572,"3,134",1553,1581,1172,3928,1978,1950,1356,1038,468,42,1543,6259.75284900285,8088.50360669179,4467.94844545859,2.02790669591662,3.28535792241551,2.07176187896876,38610,35.4,3701,10029.9049806359,-1.87627468489695,31.1,0.497510923536624,32,508,15592,30.6929133858268,,,12785.365,0.3,2.1,4.4,-,-,0.4,1.8,8.3,1.1,2.1,30762,5.5,4.3,9.3,,,,,,,,,,550063,-7.96585743676858,413233,93598,10.6252740279684,136830,499127,-5.27773044556273,170983,26408,1483,103765,"17,871","17,871",,,,,,,,20.043,,,,,,,16.5,,,,,,,,7310
חדרה,1999,6500,חיפה,,1952,21,6,70.2,94.9,,34.3,35.9,,9.36962709317614,1342,"1,477",2.93897773412878,"2,595",1243,1352,978,2570,1252,1318,1114,1948,979,38,6309,4620.48490876212,5906.02035747598,3307.69761208577,1.59355209777736,1.99189796624741,3.46960199618773,30415,40.9,1776,6071.24831081081,-4.83730979117087,40.7,0.417517467484304,42,567,15205,26.8165784832451,,,8848.83,0.3,2.6,4.9,1.8,-,0.3,2.6,5.2,1.7,-,15090,6.2,2.2,8.4,,,,,,,,,,429242,11.4754618107374,301158,51361,-7.45826459804841,128084,453198,-2.90048168172652,166930,23556,13956,117556,"-34,484","-44,484",,,,,,,,49.952,,,,,,,18,,,,,,,,5529
חולון,1999,6600,תל אביב,,1950,27,7,164.4,95.5,,79.3,85.1,,7.42889421535549,55,"2,350",0.788381488361267,"6,342",3067,3275,2282,8354,4084,4270,2896,2271,1158,43,7172,5073.76650502132,6349.00237277495,3815.33115353778,1.77209753684391,1.83806282831811,3.6021402246025,72690,37.8,6784,6295.87952044025,-4.28905258577664,36.5,0.425630799395442,51,932,27305,29.2972103004292,,,17459.468,7.6,77.6,-,0.3,2.1,7.6,77.6,-,-,0.2,41250,6.6,4.2,12.7,,,,,,,,,,671994,6.14784556839181,598712,156727,6.21856722811796,73282,665221,-10.5985195012368,314037,15605,4250,66509,-,-,,,,,,,,18.94,,,,,,,17.3,,,,,,,,18140
חיפה,1999,4000,חיפה,,1877,31,7,268.2,85.0,,128.8,139.4,,2.14268322376431,1915,"6,712",0.961013637886452,"7,776",3877,3899,3408,11956,5887,6069,4387,4946,2594,39,16926,5767.04608739976,7442.44493446204,4101.68247347436,0.673058474393007,1.87769732472789,0.843206754273163,110191,38.9,7095,8285.83534178999,-1.38831091707609,38.2,0.512115364994553,110,1656,45248,27.3236714975845,,,31231.944,4.9,65.3,8.6,2,1,1.9,15.7,7.6,0.4,0.2,70589,5.7,4.0,12.3,,,,,,,,,,1472225,-0.465688000703279,1127822,246351,1.97748336372541,344403,1477455,-1.09210124548459,424876,144017,16809,349454,-179,-179,,,,,,,,59.587,,,,,,,28.4,,,,,,,,9121
