שם הרשות,שנה,סמל הרשות,מחוז,מרחק מגבול מחוז תל אביב,שנת קבלת מעמד מוניציפלי,מספר חברי מועצה,רמה חברתית-כלכלית (10 הגבוה ביותר),"סה""כ אוכלוסייה בסוף (אלפים)",יהודים ואחרים (אחוז),ערבים (אחוז),"סה""כ גברים בסוף (אלפים)","סה""כ נשים בסוף (אלפים)",יחס תלות (אחוזים),ריבוי טבעי לאלף תושבים,"מאזן הגירה - סה""כ",אחוז עולי 1990+ מסך האוכלוסייה,אחוז גידול האוכלוסייה,"נכנסים מיישובים אחרים - סה""כ",נכנסים מיישובים אחרים - גברים,נכנסים מיישובים אחרים - נשים,נכנסים מיישובים אחרים - גיל 29-15,"יוצאים ליישובים אחרים - סה""כ",יוצאים ליישובים אחרים - גברים,יוצאים ליישובים אחרים - נשים,יוצאים ליישובים אחרים - גיל 29-15,"מקבלי דמי אבטלה - סה""כ (ממוצע חודשי)",מקבלי דמי אבטלה - גברים,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)","שכר חודשי ממוצע של שכיר במשך השנה (ש""ח)","שכר חודשי ממוצע של גברים שכירים במשך השנה (ש""ח)","שכר חודשי ממוצע של נשים שכירות במשך השנה (ש""ח)",אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של שכיר במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של גברים שכירים במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של נשים שכירות במשך השנה,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה חודשית ממוצעת של עצמאי במשך השנה (ש""ח)",אחוז שינוי ראלי של הכנסה חודשית ממוצעת של עצמאי במשך השנה,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון - שכירים (מדד ג'יני, 0 שוויון מלא)","בתי ספר - סה""כ -","כיתות - סה""כ","תלמידים - סה""כ","ממוצע תלמידים לכיתה - סה""כ",אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"תקבולי מים (אלפי מ""ק)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","התחלה של הנחת צינורות מים (ק""מ)","התחלה של הנחת צינורות ביוב (ק""מ)","התחלה של הנחת צינורות תיעול (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","גמר של הנחת צינורות מים (ק""מ)","גמר של הנחת צינורות ביוב (ק""מ)","גמר של הנחת צינורות תיעול (ק""מ)","מכוניות פרטיות - סה""כ",גיל ממוצע של רכב פרטי (שנים),"תאונות דרכים עם נפגעים - שיעור ל-1,000 תושבים","תאונות דרכים עם נפגעים - שיעור ל-1,000 כלי רכב","מדד קומפקטיות אשכול (מ-1 עד 10, 1 הגבוה ביותר)",אשכול פריפריאליות,מדדים סובייקטיביים - שביעות רצון משירות שקיבלו מהעירייה- מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מתפקוד העירייה - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון כללית מאזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מהניקיון באזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מפרקים ושטחים ירוקים באזור המגורים - מרוצים - סך הכל (באחוזים),"אחוז התושבים בני 20 ומעלה המרגישים ""בטוח"" ו""בטוח מאוד"" ללכת בחשכה באזור המגורים",פונים לרשות המקומית (אחוזים),"סך כולל הכנסות של הרשות (אלפי ש""ח)",סך כולל הכנסות של הרשות - אחוז שינוי ראלי,"סה""כ הכנסות של הרשות מן התקציב הרגיל (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות - אחוז שינוי ראלי","סה""כ הכנסות של הרשות מתקציב בלתי רגיל (אלפי ש""ח)","סך כולל הוצאות של הרשות (אלפי ש""ח)",סך כולל הוצאות של הרשות - אחוז שינוי ראלי,"הוצאות של הרשות לפעולות (אלפי ש""ח)","הוצאות של הרשות לפירעון מלוות (אלפי ש""ח)","הוצאות מימון של הרשות (אלפי ש""ח)","סה""כ הוצאות של הרשות בתקציב בלתי רגיל (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - תקציבי (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - שנתי (אלפי ש""ח)","גירעון מצטבר בסוף שנה (אלפי ש""ח)","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה נוכחית","סה""כ שטח שיפוט בקמ""ר",מגורים - אחוז משטח השיפוט,חינוך והשכלה - אחוז משטח השיפוט,בריאות ורווחה - אחוז משטח השיפוט,שירותים ציבוריים - אחוז משטח השיפוט,"תרבות, פנאי, נופש וספורט - אחוז משטח השיפוט",מסחר - אחוז משטח השיפוט,תעשייה ותשתיות - אחוז משטח השיפוט,תחבורה - אחוז משטח השיפוט,מבנים חקלאיים - אחוז משטח השיפוט,שטח פתוח ציבורי - אחוז משטח השיפוט,יער וחורש - אחוז משטח השיפוט,"מטעים, פרדסים ועצי זית - אחוז משטח השיפוט",שדות מעובדים - אחוז משטח השיפוט,שטח פתוח אחר - אחוז משטח השיפוט,"צפיפות אוכלוסייה לשטח בנוי למגורים (נפשות לקמ""ר)"
קריית גת,2000,2630,הדרום,,1972,19,4,47.9,100.0,,23.3,24.5,,11.2,-75,,0.9, 953 ,460,493,417,"1,663",861,802,696,"1,485",685,38,"6,274","3,888","4,792","2,976",-4.7,-5.2,-0.7,"17,185",45.1,"1,146","5,230",1.8,43.8,0.3670,24,403," 10,615 ",26,62.5,35.3," 6,655 ",,,3.8,0.4,0.3,0.9,8.6,5.1,,," 6,916 ",6.9,2.2,12.3,,,,,,,,,," 281,364 ",13.5," 228,527 "," 128,584 ",1.4," 52,837 "," 306,402 ",10.0," 103,518 "," 14,117 "," 5,284 "," 58,909 ","-18,966","-18,966","70,725",,,,,,,,,,,,,,,,,,,,,,"9,959"
קריית ים,2000,9600,חיפה,,1976,17,5,39.3,99.9,,18.7,20.6,,2.0,205,,0.8," 1,538 ",745,793,546,"2,104","1,031","1,073",825,948,506,39,"4,265","4,448","5,639","3,252",-1.8,-3.8,2.3,"16,439",43.2,793,"5,285",0.8,45.5,0.4089,13,231," 6,491 ",28,56.4,39.3," 3,263 ",,,3.1,,1.4,,,3.1,,," 7,059 ",6.4,1.8,8.9,,,,,,,,,," 166,216 ",-4.0," 145,699 "," 77,304 ",-8.8," 20,517 "," 172,165 ",-3.1," 65,361 "," 11,477 "," 3,951 "," 23,777 ","-2,689","-6,689","34,110",,,,,,,,,,,,,,,,,,,,,,"14,584"
קריית מוצקין,2000,8200,חיפה,,1976,17,7,38.0,100.0,,18.2,19.9,,3.9,295,,1.1," 1,918 ",900,"1,018",682,"1,995",970,"1,025",721,794,355,39,"2,132","5,778","7,514","4,101",-2.2,-3.1,0.8,"16,621",37.4,881,"7,135",3.9,36.7,0.4400,13,228," 6,723 ",29,67.6,52.9," 3,097 ",0.2,0.8,5.5,,1.3,0.2,0.8,6.7,0.6,," 9,333 ",5.9,1.3,4.6,,,,,,,,,," 186,547 ",23.4," 154,889 "," 36,986 ",5.0," 31,658 "," 189,566 ",25.8," 99,187 "," 8,078 "," 1,947 "," 34,806 ",129,"-1,829","11,525",,,,,,,,,,,,,,,,,,,,,,"13,896"
קריית מלאכי,2000,1034,הדרום,,1998,15,3,19.3,100.0,,9.8,9.5,,17.1,-354,,-0.1, 454 ,231,223,222,837,414,423,360,565,307,37,"3,224","3,597","4,652","2,501",-6.4,-6.3,-2.8,"6,689",51.8,472,"5,336",0.2,37.7,0.3936,14,204," 4,868 ",24,59.8,21.6," 1,728 ",,,,,,,,,,," 2,837 ",7.9,2.0,10.2,,,,,,,,,," 117,362 ",-18.8," 95,285 "," 65,634 ",-5.1," 22,077 "," 129,228 ",-2.6," 43,577 "," 13,265 "," 1,777 "," 22,722 ","-11,221","-14,721","19,565",,,,,,,,,,,,,,,,,,,,,,"11,491"
קריית שמונה,2000,2800,הצפון,,1974,15,5,21.1,98.9,,10.6,10.5,,12.8,-82,,0.7, 505 ,268,237,227,696,340,356,259,520,287,38,"1,563","4,069","5,023","3,100",-4.2,-5.0,0.2,"9,591",44.4,484,"6,130",-8.7,38.4,0.3806,11,179," 4,059 ",23,72.0,44.3," 2,733 ",,,1.8,0.1,,,,1.8,,," 4,146 ",7.2,2.5,9.7,,,,,,,,,," 169,419 ",13.7," 135,605 "," 99,963 ",19.3," 33,814 "," 171,354 ",10.7," 54,926 "," 7,913 ", 601 ," 35,760 ",11,"-1,739","15,723",,,,,,,,,,,,,,,,,,,,,,"5,363"
ראש העין,2000,2640,המרכז,,1994,15,6,34.0,99.9,,17.0,17.0,,20.2,9,,1.9," 1,215 ",595,620,360,"1,231",615,616,346,568,268,37,962,"5,864","7,712","4,246",-6.7,-7.6,-1.0,"13,236",34.8,"1,033","6,044",-2.8,43.0,0.4352,19,258," 6,770 ",26,59.8,44.4," 3,854 ",0.1,0.4,1.1,0.3,,0.1,0.4,0.7,0.3,," 8,625 ",6.7,1.7,5.2,,,,,,,,,," 185,459 ",13.5," 146,710 "," 60,438 ",6.2," 38,749 "," 199,707 ",14.5," 90,533 "," 10,722 "," 4,292 "," 37,538 ","-15,459","-18,959","57,658",,,,,,,,,,,,,,,,,,,,,,"5,267"
ראשון לציון,2000,8300,המרכז,,1950,27,7,202.2,100.0,,98.4,103.8,,10.1,"2,912",,2.5," 7,837 ","3,825","4,012","2,603","7,036","3,505","3,531","2,470","2,912","1,282",40,"7,148","6,051","7,797","4,392",-1.0,-1.2,2.1,"90,612",35.2,"7,017","7,806",0.3,32.9,0.4401,89,1359," 40,149 ",30,68.8,52.6," 20,932 ",1.1,7.7,9.5,1.8,4.1,1.1,7.7,15.1,9.8,4.0," 53,358 ",6.3,1.5,4.5,,,,,,,,,," 1,109,697 ",9.5," 953,212 "," 237,831 ",5.9," 156,485 "," 1,106,533 ",11.3," 375,133 "," 30,374 "," 7,853 "," 149,915 ","-3,406","-3,406","10,545",,,,,,,,,,,,,,,,,,,,,,"13,136"
רהט,2000,1161,הדרום,,1994,17,1,30.7,..,,15.4,15.2,,51.5,82,,5.8, 232 ,102,130,109,235,95,140,105,423,327,30,"10,255","2,999","3,459","1,544",-4.1,-2.8,-4.6,"4,348",55.6,437,"4,701",-8.4,46.2,0.3161,15,316," 9,681 ",31,40.4,14.7," 1,899 ",,,,,,,,,,," 1,833 ",10.1,1.3,11.5,,,,,,,,,," 110,819 ",-5.0," 90,228 "," 71,160 ",6.5," 20,591 "," 111,034 ",-4.7," 43,992 "," 5,096 ", 816 ," 19,048 ","-1,758","-1,758","15,421",,,,,,,,,,,,,,,,,,,,,,"4,492"
רחובות,2000,8400,המרכז,,1950,23,7,95.0,99.7,,46.3,48.7,,10.1,"1,565",,2.8," 3,986 ","1,932","2,054","1,442","3,211","1,617","1,594","1,301","1,671",746,38,"7,065","6,021","7,854","4,291",-2.1,-2.3,0.4,"39,679",39.7,"2,524","7,744",0.1,35.7,0.4683,52,713," 19,694 ",28,67.7,54.9," 8,992 ",0.9,8.3,1.8,0.5,,,,6.0,0.5,," 23,020 ",6.8,1.8,6.1,,,,,,,,,," 511,110 ",4.7," 413,357 "," 103,167 ",-6.9," 97,753 "," 508,869 ",6.9," 205,133 "," 32,633 "," 8,365 "," 95,723 ",211,"-2,701","55,095",,,,,,,,,,,,,,,,,,,,,,"8,220"
רמלה,2000,8500,המרכז,,1877,19,4,61.9,81.1,,31.8,30.1,,15.5,-283,,1.2," 1,363 ",661,702,540,"2,226","1,053","1,173",832,"1,207",600,38,"5,939","4,098","5,014","3,078",-4.1,-5.6,0.2,"22,790",44.5,"1,753","4,802",-2.1,42.9,0.3791,31,437," 11,874 ",27,48.0,31.3," 5,255 ",2.7,21.9,15.3,0.9,0.2,2.2,16.3,18.5,2.0,0.2," 11,102 ",7.9,1.5,6.7,,,,,,,,,," 307,452 ",8.9," 253,050 "," 87,497 ",1.9," 54,402 "," 313,128 ",6.5," 126,837 "," 19,138 "," 5,098 "," 56,464 ","-3,614","-8,614","43,389",,,,,,,,,,,,,,,,,,,,,,"10,476"
רמת גן,2000,8600,תל אביב,,1950,25,8,127.5,99.9,,60.0,67.5,,5.3,-424,,0.3," 5,924 ","2,807","3,117","2,395","6,897","3,304","3,593","2,129","1,542",700,40,"2,925","6,304","7,890","4,864",-0.7,-1.1,1.0,"56,402",34.3,"5,234","9,164",1.4,30.8,0.4622,42,663," 18,148 ",27,68.2,60.4," 12,915 ",0.6,6.5,6.2,1.0,0.7,0.6,6.5,6.2,0.8,0.5," 39,059 ",6,4.5,10.8,,,,,,,,,," 681,570 ",6.3," 563,911 "," 109,882 ",6.9," 117,659 "," 658,131 ",3.0," 275,788 "," 26,441 "," 4,043 "," 94,612 ",392,392,"106,216",,,,,,,,,,,,,,,,,,,,,,"13,013"
רעננה,2000,8700,המרכז,,1982,19,8,65.9,99.9,,32.1,33.8,,8.9,"1,013",,2.5," 2,800 ","1,368","1,432",767,"2,416","1,164","1,252",932,649,292,43,812,"7,325","9,832","4,896",1.1,0.7,1.6,"28,437",34.1,"2,762","10,865",3.1,29.3,0.5050,28,471," 14,122 ",30,73.2,68.3," 8,601 ",1.1,10.3,2.6,1.3,0.2,2.4,23.8,3.1,1.3,0.8," 20,710 ",5.5,1.5,3.9,,,,,,,,,," 419,700 ",-3.9," 322,942 "," 73,823 ",-0.9," 96,758 "," 422,741 ",7.9," 145,424 "," 17,150 "," 2,897 "," 99,966 ",167,167,30,,,,,,,,,,,,,,,,,,,,,,"8,262"
שדרות,2000,1031,הדרום,,1996,15,3,19.2,99.7,,9.5,9.7,,13.2,36,,1.5, 712 ,364,348,276,891,393,498,308,732,393,38,"3,320","3,487","4,362","2,574",-4.4,-4.3,-1.3,"7,589",49.8,383,"5,019",-2.2,47.5,0.3691,13,172," 3,477 ",20,47.5,28.4," 2,226 ",,,,,,,,,,," 2,848 ",7.4,1.6,8.4,,,,,,,,,," 121,897 ",-0.8," 109,662 "," 69,753 ",3.9," 12,235 "," 126,010 ",5.4," 51,070 "," 10,967 "," 1,464 "," 14,915 ","-1,433","-1,433","12,821",,,,,,,,,,,,,,,,,,,,,,"7,525"
שפרעם,2000,8800,הצפון,,1887,17,3,28.6,..,,14.4,14.2,,24.8,154,,3.1, 353 ,136,217,157,211,81,130,95,570,459,34,"4,320","3,668","4,266","2,439",-4.5,-4.9,0.6,"7,905",49.0,859,"5,655",-3.4,38.5,0.3541,15,206," 6,608 ",32,56.8,42.2," 2,330 ",,,6.9,,,2.5,15.7,11.4,,," 4,988 ",9.6,2.4,11.0,,,,,,,,,," 106,474 ",11.1," 81,193 "," 49,123 ",1.1," 25,281 "," 118,798 ",16.9," 43,560 "," 5,601 "," 1,031 "," 30,862 ","-6,743","-7,743","21,274",,,,,,,,,,,,,,,,,,,,,,"2,782"
תל אביב -יפו,2000,5000,תל אביב,,1934,31,8,354.4,96.2,,168.6,185.8,,5.5,"1,608",,1.0," 17,667 ","9,067","8,600","9,770","19,961","9,780","10,181","6,344","5,400","2,486",38,"16,883","5,970","7,264","4,717",0.0,-0.6,1.8,"167,382",37.3,"17,056","9,779",-0.6,34.3,0.5081,153,2091," 51,217 ",24,64.0,55.3," 48,473 ",,,17.2,8.2,2.6,,,20.3,9.0,3.1," 157,107 ",4.4,8.3,12.9,,,,,,,,,," 3,226,892 ",4.7," 2,742,048 "," 416,442 ",5.8," 484,844 "," 3,258,897 ",3.0," 1,190,883 "," 269,969 "," 27,270 "," 477,146 ","-39,703","-39,703","763,786",,,,,,,,,,,,,,,,,,,,,,"9,950"
אבו גוש,2000,0472,ירושלים,,1992,9,3,4.9,..,,2.5,2.4,,27.7,9,,2.9,29,15,14,16,30,12,18,7,41,37,36,487,"3,425","3,746","2,458",2.5,1.2,1.2,"1,079",47.4,96,"5,408",8.8,50.0,0.3152,..,41,"1,170",29,59.6,29.8,361,,,,,,,,,,,544,9.7,..,..,,,,,,,,,,"26,727",-8.3,"19,317","13,416",5.9," 7,410 "," 21,493 ",-34.2," 10,096 ",941,31,"2,292",116,116,,,,,,,,,,,,,,,,,,,,,,,"3,890"
אבו סנאן,2000,0473,הצפון,,1964,11,3,10.4,..,,5.3,5.1,,25.4,47,,3.2,127,49,78,59,83,29,54,48,150,119,34,997,"3,459","4,063","2,391",-5.0,-6.5,5.0,"2,459",52.9,339,"5,085",-9.3,44.0,0.3873,5,86,"2,339",27,42.1,38.6,663,,,,,,,,,,,"1,467",10.0,1.1,5.9,,,,,,,,,,"55,172",6.6,"41,567","30,191",3.8," 13,605 "," 55,207 ",-2.7," 17,786 ","2,462",372,"11,824","-1,816","-3,999","3,399",,,,,,,,,,,,,,,,,,,,,,"6,310"
אבן יהודה,2000,0182,המרכז,,1950,11,8,8.3,100.0,,4.2,4.2,,10.2,101,,2.3,333,151,182,77,238,116,122,108,102,52,39,130,"6,894","9,232","4,655",-0.7,0.1,0.3,"3,569",35.5,378,"10,047",-0.7,34.4,0.5180,4,86,"2,472",29,69.0,60.7,"1,939",,,,,,,,,,,"2,646",6.2,..,..,,,,,,,,,,"51,431",31.1,"37,055","10,284",1.6," 14,376 "," 46,377 ",13.1," 21,092 ","4,266",516,"9,045",-277,-277,"16,441",,,,,,,,,,,,,,,,,,,,,,"2,744"
אור עקיבא,2000,1020,חיפה,,1953,15,3,15.3,99.3,,7.5,7.9,,10.2,-83,,0.6,455,221,234,191,744,363,381,278,621,334,37,"1,870","3,542","4,365","2,698",-0.2,-0.4,3.0,"6,660",49.3,403,"4,130",-5.5,52.4,0.3540,9,104,"2,324",22,57.4,25.5,"1,673",,,,,,,,,,,"2,641",7.4,0.7,3.1,,,,,,,,,,"89,131",-2.4,"75,399","45,741",2.3," 13,732 "," 92,233 ",-1.6," 43,036 ","2,885",714,"13,233","-3,601","-3,601","12,495",,,,,,,,,,,,,,,,,,,,,,"9,078"
אורנית,2000,3760,-,,1990,9,8,5.1,100.0,,2.6,2.5,,12.8,232,,6.0,318,159,159,80,80,49,31,46,52,18,40,9,"7,493","9,919","5,298",0.3,2.3,2.0,"2,082",27.9,215,"7,024",1.0,38.1,0.4316,..,32,"1,129",35,58.7,50.0,581,,,,,,,,,,,"1,446",6.2,..,..,,,,,,,,,,"28,071",4.7,"25,543","10,807",0.4," 2,528 "," 27,582 ",1.1," 13,084 ","1,886",63,"2,087",48,48,311,,,,,,,,,,,,,,,,,,,,,,"5,485"
אזור,2000,0565,תל אביב,,1951,13,7,9.4,99.8,,4.6,4.8,,7.0,39,,1.1,395,203,192,137,416,197,219,134,105,49,42,248,"5,453","6,925","4,054",-1.7,-2.0,0.3,"3,944",36.3,387,"8,190",10.9,31.3,0.4350,3,40,"1,047",26,66.1,50.8,"1,467",,,,,,,,,,,"2,629",6.7,..,..,,,,,,,,,,"54,077",-5.9,"46,522","16,595",0.4," 7,555 "," 53,860 ",-8.1," 29,128 ","3,565",485,"5,930","-1,408","-1,408","5,714",,,,,,,,,,,,,,,,,,,,,,"4,995"
אכסאל,2000,0478,הצפון,,-,11,3,9.7,..,,5.1,4.6,,31.6,17,,3.5,48,12,36,27,44,13,31,25,161,147,35,787,"3,477","3,909","2,097",0.9,1.7,7.4,"2,174",51.1,338,"6,583",-9.3,35.5,0.3603,4,72,"2,402",33,45.7,29.9,698,,,,,,,,,,,"1,314",9.6,..,..,,,,,,,,,,"35,484",-2.7,"28,036","20,779",1.9," 7,448 "," 35,343 ",-4.5," 12,614 ","1,823",482,"7,258",-49,-49,"1,072",,,,,,,,,,,,,,,,,,,,,,"5,867"
אליכין,2000,0041,המרכז,,1977,9,6,2.3,100.0,,1.1,1.1,,17.8,41,,3.7,74,36,38,23,37,19,18,17,46,26,37,52,"4,585","5,970","3,445",-7.9,-7.1,-6.0,"1,041",42.3,81,"5,170",15.1,40.7,0.4009,..,6,161,27,51.3,23.1,369,,,,,,,,,,,571,8.4,..,..,,,,,,,,,,"16,599",8.6,"13,756","8,298",3.2," 2,843 "," 16,269 ",0.1," 6,132 ","1,351",100,"2,311",-202,-883,"3,894",,,,,,,,,,,,,,,,,,,,,,"2,571"
אלעד,2000,1309,המרכז,,1998,9,4,5.8,100.0,,2.9,2.9,,58.8,2334,,87.4,2482,"1,252","1,230",910,162,77,85,61,79,32,31,103,"3,845","5,680","2,514",-4.5,-7.9,4.1,"1,617",47,85,"4,824",7.6,47.1,0.3660,4,22,387,18,..,..,400,,,,,,,,,,,683,9.8,..,..,,,,,,,,,,"51,322",58.1,"17,204","4,916",28.8," 34,118 "," 47,568 ",21.8," 12,217 ",,60,"30,393",29,29,,,,,,,,,,,,,,,,,,,,,,,
אלפי מנשה,2000,3750,-,,1987,9,8,4.6,100.0,,2.4,2.2,,9.9,118,,3.7,290,139,151,77,162,84,78,61,55,23,43,20,"6,684","8,705","4,735",-3.9,-4.6,1.3,"2,160",30.6,202,"7,325",2.0,34.7,0.4311,..,31,968,31,75.8,68.7,504,,,,,,,,,,,"1,496",6.5,..,..,,,,,,,,,,"33,181",10.1,"27,826","13,721",-2.4," 5,355 "," 33,826 ",12.4," 16,993 ","1,469",293,"6,014",14,14,"3,739",,,,,,,,,,,,,,,,,,,,,,"4,902"
אלקנה,2000,3560,-,,1981,9,8,3.0,100.0,,1.4,1.6,,30.4,-53,,1.6,120,68,52,82,182,87,95,78,30,15,38,12,"7,454","10,066","4,920",-2.4,-2.1,-2.4,"1,389",33,75,"10,927",-7.5,26.7,0.4788,4,44,"1,345",31,77.5,76.1,348,,,,,,,,,,,882,6.0,..,..,,,,,,,,,,"23,751",6.0,"20,342","11,367",10.5," 3,409 "," 23,980 ",7.3," 11,498 ",691,70,"3,705",67,-170,"1,133",,,,,,,,,,,,,,,,,,,,,,"3,501"
אעבלין,2000,0529,הצפון,,1960,11,2,9.5,..,,4.8,4.7,,26.3,14,,2.8,73,26,47,34,64,24,40,23,152,112,34,"1,200","3,549","4,110","2,424",3.8,4.3,5.7,"2,480",48.6,272,"4,573",3.9,47.1,0.3337,8,106,"2,939",28,84.8,35.7,819,,,,,,,,,,,"1,362",10.6,..,..,,,,,,,,,,"45,140",-1.8,"39,291","18,201",3.6," 5,849 "," 48,669 ",-3.1," 18,757 ","2,914","1,067","7,210","-2,168","-2,168","14,641",,,,,,,,,,,,,,,,,,,,,,"2,663"
אפרתה,2000,3650,-,,1983,9,6,6.4,100.0,,3.4,3.0,,21.1,50,,3.2,336,176,160,111,348,162,186,117,29,15,41,14,"6,559","8,861","4,362",-2.7,-5.7,2.8,"2,027",35,159,"11,945",-4.6,25.8,0.4422,6,93,"2,169",23,83.1,76.6,583,,,,,,,,,,,"1,158",6.4,..,..,,,,,,,,,,"44,401",-5.2,"33,790","21,035",3.0," 10,611 "," 44,087 ",-7.7," 19,494 ","1,956",164,"10,418",121,121,"3,646",,,,,,,,,,,,,,,,,,,,,,"6,744"
באר יעקב,2000,2530,המרכז,,1949,11,5,8.0,99.0,,4.3,3.7,,10.7,49,,1.6,329,158,171,97,295,126,169,109,100,53,38,285,"5,253","6,671","3,902",-1.8,-0.4,-1.0,"2,480",36.6,222,"6,883",-4.4,34.7,0.4105,12,127,"2,720",21,48.4,33.0,782,,,,,,,,,,,"1,524",7.5,..,..,,,,,,,,,,"43,433",-4.3,"35,807","9,726",-4.6," 7,626 "," 44,622 ",-15.9," 21,657 ","3,077",544,"5,250","-3,565","-3,565","14,100",,,,,,,,,,,,,,,,,,,,,,"2,822"
בועיינה-נוג'ידאת,2000,0482,הצפון,,1980,11,2,6.6,..,,3.4,3.2,,31.0,-14,,2.9,24,7,17,17,40,13,27,30,145,114,31,"1,538","2,802","3,303","1,730",-6.8,-8.5,1.3,"1,362",63.1,116,"5,522",-7.7,39.7,0.3652,5,64,"1,814",28,53.2,31.6,387,,,,,,,,,,,643,9.1,..,..,,,,,,,,,,"30,891",-5.6,"23,711","20,511",9.8," 7,180 "," 38,687 ",14.4," 10,684 ","2,448","1,331","9,311","-5,665","-5,665","11,858",,,,,,,,,,,,,,,,,,,,,,"5,601"
בוקעאתא,2000,4001,הצפון,,1982,-,2,4.9,..,,2.5,2.4,,23.0,5,,2.5,31,5,26,15,29,8,21,11,68,63,35,394,"2,784","3,256","1,429",-7.8,-7.4,-10.0,"1,046",64.7,140,"2,922",-16.7,68.6,0.3358,..,30,910,30,34.7,6.9,273,,,,,,,,,,,487,10.1,..,..,,,,,,,,,,"19,001",-14.8,"15,572","9,837",-1.2," 3,429 "," 17,876 ",-19.8," 6,737 ",105,44,"5,311","3,007","3,007",,,,,,,,,,,,,,,,,,,,,,,"3,837"
ביר אל-מכסור,2000,0998,הצפון,,1990,11,1,6.1,..,,3.1,3.0,,32.9,-40,,2.7,33,12,21,22,77,30,47,32,134,97,34,"1,113","2,758","3,350","1,248",-14.0,-13.5,-9.3,"1,268",61.8,95,"3,998",-11.8,42.1,0.3212,3,55,"1,541",28,..,..,410,,,,,,,,,,,754,10.5,..,..,,,,,,,,,,"32,148",16.9,"24,840","19,077",8.7," 7,308 "," 31,773 ",6.8," 9,870 ","1,780",407,"6,979",46,"-2,140",264,,,,,,,,,,,,,,,,,,,,,,"3,333"
בית אל,2000,3574,-,,1997,9,4,4.1,100.0,,2.2,2.0,,40.3,154,,8.3,326,189,137,162,184,92,92,92,26,12,35,14,"4,948","6,673","3,406",-2.2,-1.1,1.6,"1,250",43.7,53,"7,553",-4.9,34.0,0.4538,7,63,"1,535",24,76.7,72.1,,,,,,,,,,,,603,7.2,..,..,,,,,,,,,,"40,804",-8.9,"27,637","18,127",-5.1," 13,167 "," 42,173 ",-5.4," 20,580 ",,20,"14,459",-77,-77,,,,,,,,,,,,,,,,,,,,,,,
בית אריה,2000,3652,-,,1989,7,8,2.4,100.0,,1.2,1.2,,15.3,20,,2.4,90,38,52,29,70,33,37,23,35,15,39,..,"7,099","9,419","4,923",-1.6,0.3,-2.1,"1,087",25.8,87,"6,814",21.3,35.6,0.3905,..,22,570,26,67.7,58.1,266,,,,,,,,,,,727,7.1,..,..,,,,,,,,,,"17,862",7.0,"14,947","8,399",8.2," 2,915 "," 16,876 ",3.0," 9,131 ",367,120,"1,937",8,8,14,,,,,,,,,,,,,,,,,,,,,,"3,135"
בית ג'ן,2000,0480,הצפון,,1964,11,3,9.0,..,,4.5,4.6,,21.5,7,,2.3,35,9,26,17,41,15,26,23,78,62,35,275,"2,523","3,511","1,619",-37.5,-36.2,-8.4,"1,676",68.8,140,"3,327",-5.0,62.9,0.3729,4,77,"2,486",32,..,..,680,,,,,,,,,,,"1,114",9.5,..,..,,,,,,,,,,"63,485",20.3,"45,228","31,495",15.4," 18,257 "," 64,954 ",1.8," 19,691 ","3,059","1,624","14,509","-5,217","-10,931","14,400",,,,,,,,,,,,,,,,,,,,,,"4,407"
