location,authority_code
קריית גת,2630
כפר סבא,6900
רמת גן,8600
נצרת עילית,1061
צפת,8000
תל אביב -יפו,5000
ירושלים,3000
בת ים,6200
קריית מלאכי,1034
נהרייה,9100
חדרה,6500
ג'ולס,485
טבריה,6700
רמת השרון,2650
רחובות,8400
לוד,7000
אשקלון,7100
