target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,financing_expenditures,192,192,True,0.1511181140488682,0.03191438675048328,0.056797494098152296,0.52
31,אופקים,2013,conviction,financing_expenditures,192,192,True,0.19608962150589684,0.05262734608676985,0.05767944060431849,0.5
1031,שדרות,2009,conviction,financing_expenditures,192,192,True,0.004889025229081859,0.0002592689615583289,0.004832098737205721,0.3
587,סביון,2003,conviction,financing_expenditures,264,264,True,0.2838134257854318,0.039911316365059984,0.04989878399739632,0.59
587,סביון,2014,conviction,financing_expenditures,264,264,True,0.26196612783734513,0.03029567749515034,0.017196812864566702,0.26
587,סביון,2013,indictment filed,financing_expenditures,264,264,True,0.2563995428502948,0.0284642801413154,0.025698322336844662,0.29
70,אשדוד,2010,arrest,financing_expenditures,264,264,True,0.6237543443974001,0.41800170733366826,0.003731630576803323,0.27
70,אשדוד,2014,conviction,financing_expenditures,264,264,True,0.4122760642248894,0.17532789310046,0.01510529263945438,0.15
70,אשדוד,2012,indictment filed,financing_expenditures,264,264,True,0.4696502749735134,0.23205022592586855,0.005947465730912415,0.18
9600,קריית ים,2009,arrest,financing_expenditures,216,216,True,0.0003459820432437954,3.1973785483473163e-06,0.000378716559713993,0.15
9600,קריית ים,2014,conviction,financing_expenditures,216,216,True,0.0021535814499719593,5.60612901865703e-05,5.574733095713971e-05,0.09
9600,קריית ים,2013,indictment filed,financing_expenditures,216,216,True,0.013378127044821634,0.0012335682169234393,0.0003229366062796819,0.23
7700,עפולה,2005,conviction,financing_expenditures,168,168,True,0.11837665872502888,0.038145644020065816,0.16277719096869217,0.42
9200,בית שאן,2007,arrest,financing_expenditures,192,192,True,0.00026888595478592855,0.00012277943914328505,4.0364881227864893e-07,0.11
9200,בית שאן,2015,conviction,financing_expenditures,192,192,True,1.6957268179054461e-09,1.1369596384264503e-10,2.0236869457265587e-08,0.15
9200,בית שאן,2010,indictment filed,financing_expenditures,192,192,True,0.582383584696174,0.5612046137996531,0.03991001626789456,0.52
9200,בית שאן,2011,indictment filed,financing_expenditures,192,192,True,0.5218027376368631,0.49806705751889724,0.025433838685252484,0.54
9700,הוד השרון,2017,arrest,financing_expenditures,216,216,True,0.5476114522727926,0.4846554572527294,0.5048495430791617,0.85
9700,הוד השרון,2021,conviction,financing_expenditures,216,216,True,0.6191063762922862,0.5769160131323698,0.6858869718837348,1.0
9700,הוד השרון,2018,indictment filed,financing_expenditures,216,216,True,0.8205889765519232,0.7907091229652281,0.6851924447450545,1.0
8500,רמלה,2006,arrest,financing_expenditures,240,240,True,0.004639283718469378,0.00032563467852529893,0.0003237762086831885,0.39
8500,רמלה,2010,conviction,financing_expenditures,240,240,True,0.08766483797033787,0.03045668029727911,0.00525874405872259,0.36
8500,רמלה,2006,indictment filed,financing_expenditures,240,240,True,0.004639283718469378,0.00032563467852529893,0.0003237762086831885,0.23
7800,פרדס חנה-כרכור,2016,arrest,financing_expenditures,168,168,True,0.26030945366412966,0.13741219589363232,0.04776428471180671,0.39
7800,פרדס חנה-כרכור,2019,conviction,financing_expenditures,168,168,True,0.29377545265158317,0.16639401894109782,0.14487095371482706,0.47
7800,פרדס חנה-כרכור,2017,indictment filed,financing_expenditures,168,168,True,0.24792878066747945,0.12730023242118033,0.0436069425492118,0.42
3660,עמנואל,2016,conviction,financing_expenditures,240,240,True,0.545791494493679,0.45329864845756274,0.4507386409868628,0.84
7200,נס ציונה,2008,conviction,financing_expenditures,192,192,True,0.02013898889632243,0.0028409724640130075,0.00369820347077743,0.16
8700,רעננה,2015,conviction,financing_expenditures,216,216,True,0.967718796841805,0.9631311706661014,0.9578977534926283,0.89
8700,רעננה,2013,indictment filed,financing_expenditures,216,216,True,0.8151535469286748,0.788817538419124,0.7416861942661268,0.78
2800,קריית שמונה,2008,conviction,financing_expenditures,216,216,True,0.22541727994027716,0.04300633606001617,1.648561474589516e-05,0.11
